ScripNo,Exch,series,symbol,opttype,StrikePrice,ExpiryDate,MLot
3638594,NFO,FUTSTK,ABIRLANUVO,,0,2016-10-27,750
3660535,NFO,FUTSTK,ABIRLANUVO,,0,2016-11-24,750
3660535,NFO,FUTSTK,ABIRLANUVO,,0,2016-11-24,750
3686772,NFO,FUTSTK,ABIRLANUVO,,0,2016-12-29,750
3686772,NFO,FUTSTK,ABIRLANUVO,,0,2016-12-29,750
3638595,NFO,FUTSTK,ACC,,0,2016-10-27,400
3660559,NFO,FUTSTK,ACC,,0,2016-11-24,400
3660559,NFO,FUTSTK,ACC,,0,2016-11-24,400
3686773,NFO,FUTSTK,ACC,,0,2016-12-29,400
3686773,NFO,FUTSTK,ACC,,0,2016-12-29,400
3638596,NFO,FUTSTK,ADANIENT,,0,2016-10-27,8000
3660560,NFO,FUTSTK,ADANIENT,,0,2016-11-24,8000
3660560,NFO,FUTSTK,ADANIENT,,0,2016-11-24,8000
3686774,NFO,FUTSTK,ADANIENT,,0,2016-12-29,8000
3686774,NFO,FUTSTK,ADANIENT,,0,2016-12-29,8000
3638597,NFO,FUTSTK,ADANIPORTS,,0,2016-10-27,2500
3638597,NFO,FUTSTK,ADANIPORTS,,0,2016-10-27,2500
3660558,NFO,FUTSTK,ADANIPORTS,,0,2016-11-24,2500
3660558,NFO,FUTSTK,ADANIPORTS,,0,2016-11-24,2500
3686778,NFO,FUTSTK,ADANIPORTS,,0,2016-12-29,2500
3686778,NFO,FUTSTK,ADANIPORTS,,0,2016-12-29,2500
3638598,NFO,FUTSTK,ADANIPOWER,,0,2016-10-27,20000
3660644,NFO,FUTSTK,ADANIPOWER,,0,2016-11-24,20000
3660644,NFO,FUTSTK,ADANIPOWER,,0,2016-11-24,20000
3686779,NFO,FUTSTK,ADANIPOWER,,0,2016-12-29,20000
3686779,NFO,FUTSTK,ADANIPOWER,,0,2016-12-29,20000
3638599,NFO,FUTSTK,AJANTPHARM,,0,2016-10-27,400
3660645,NFO,FUTSTK,AJANTPHARM,,0,2016-11-24,400
3660645,NFO,FUTSTK,AJANTPHARM,,0,2016-11-24,400
3686780,NFO,FUTSTK,AJANTPHARM,,0,2016-12-29,400
3686780,NFO,FUTSTK,AJANTPHARM,,0,2016-12-29,400
3638566,NFO,FUTSTK,ALBK,,0,2016-10-27,10000
3660546,NFO,FUTSTK,ALBK,,0,2016-11-24,10000
3660546,NFO,FUTSTK,ALBK,,0,2016-11-24,10000
3686781,NFO,FUTSTK,ALBK,,0,2016-12-29,10000
3686781,NFO,FUTSTK,ALBK,,0,2016-12-29,10000
3638567,NFO,FUTSTK,AMARAJABAT,,0,2016-10-27,600
3660547,NFO,FUTSTK,AMARAJABAT,,0,2016-11-24,600
3660547,NFO,FUTSTK,AMARAJABAT,,0,2016-11-24,600
3686782,NFO,FUTSTK,AMARAJABAT,,0,2016-12-29,600
3686782,NFO,FUTSTK,AMARAJABAT,,0,2016-12-29,600
3638568,NFO,FUTSTK,AMBUJACEM,,0,2016-10-27,2500
3638568,NFO,FUTSTK,AMBUJACEM,,0,2016-10-27,2500
3660548,NFO,FUTSTK,AMBUJACEM,,0,2016-11-24,2500
3660548,NFO,FUTSTK,AMBUJACEM,,0,2016-11-24,2500
3686783,NFO,FUTSTK,AMBUJACEM,,0,2016-12-29,2500
3686783,NFO,FUTSTK,AMBUJACEM,,0,2016-12-29,2500
3638569,NFO,FUTSTK,ANDHRABANK,,0,2016-10-27,10000
3660549,NFO,FUTSTK,ANDHRABANK,,0,2016-11-24,10000
3660549,NFO,FUTSTK,ANDHRABANK,,0,2016-11-24,10000
3686784,NFO,FUTSTK,ANDHRABANK,,0,2016-12-29,10000
3686784,NFO,FUTSTK,ANDHRABANK,,0,2016-12-29,10000
3638570,NFO,FUTSTK,APOLLOHOSP,,0,2016-10-27,400
3660550,NFO,FUTSTK,APOLLOHOSP,,0,2016-11-24,400
3660550,NFO,FUTSTK,APOLLOHOSP,,0,2016-11-24,400
3686785,NFO,FUTSTK,APOLLOHOSP,,0,2016-12-29,400
3686785,NFO,FUTSTK,APOLLOHOSP,,0,2016-12-29,400
3638571,NFO,FUTSTK,APOLLOTYRE,,0,2016-10-27,3000
3660551,NFO,FUTSTK,APOLLOTYRE,,0,2016-11-24,3000
3660551,NFO,FUTSTK,APOLLOTYRE,,0,2016-11-24,3000
3686786,NFO,FUTSTK,APOLLOTYRE,,0,2016-12-29,3000
3686786,NFO,FUTSTK,APOLLOTYRE,,0,2016-12-29,3000
3638572,NFO,FUTSTK,ARVIND,,0,2016-10-27,2000
3660538,NFO,FUTSTK,ARVIND,,0,2016-11-24,2000
3660538,NFO,FUTSTK,ARVIND,,0,2016-11-24,2000
3686787,NFO,FUTSTK,ARVIND,,0,2016-12-29,2000
3686787,NFO,FUTSTK,ARVIND,,0,2016-12-29,2000
3638573,NFO,FUTSTK,ASHOKLEY,,0,2016-10-27,7000
3660539,NFO,FUTSTK,ASHOKLEY,,0,2016-11-24,7000
3660539,NFO,FUTSTK,ASHOKLEY,,0,2016-11-24,7000
3686790,NFO,FUTSTK,ASHOKLEY,,0,2016-12-29,7000
3686790,NFO,FUTSTK,ASHOKLEY,,0,2016-12-29,7000
3638574,NFO,FUTSTK,ASIANPAINT,,0,2016-10-27,600
3660540,NFO,FUTSTK,ASIANPAINT,,0,2016-11-24,600
3660540,NFO,FUTSTK,ASIANPAINT,,0,2016-11-24,600
3686791,NFO,FUTSTK,ASIANPAINT,,0,2016-12-29,600
3686791,NFO,FUTSTK,ASIANPAINT,,0,2016-12-29,600
3638575,NFO,FUTSTK,AUROPHARMA,,0,2016-10-27,700
3660541,NFO,FUTSTK,AUROPHARMA,,0,2016-11-24,700
3660541,NFO,FUTSTK,AUROPHARMA,,0,2016-11-24,700
3686788,NFO,FUTSTK,AUROPHARMA,,0,2016-12-29,700
3686788,NFO,FUTSTK,AUROPHARMA,,0,2016-12-29,700
3638576,NFO,FUTSTK,AXISBANK,,0,2016-10-27,1200
3660542,NFO,FUTSTK,AXISBANK,,0,2016-11-24,1200
3660542,NFO,FUTSTK,AXISBANK,,0,2016-11-24,1200
3686789,NFO,FUTSTK,AXISBANK,,0,2016-12-29,1200
3686789,NFO,FUTSTK,AXISBANK,,0,2016-12-29,1200
3638577,NFO,FUTSTK,BAJAJ-AUTO,,0,2016-10-27,250
3660543,NFO,FUTSTK,BAJAJ-AUTO,,0,2016-11-24,250
3660543,NFO,FUTSTK,BAJAJ-AUTO,,0,2016-11-24,250
3686799,NFO,FUTSTK,BAJAJ-AUTO,,0,2016-12-29,250
3686799,NFO,FUTSTK,BAJAJ-AUTO,,0,2016-12-29,250
3638578,NFO,FUTSTK,BAJFINANCE,,0,2016-10-27,1250
3638578,NFO,FUTSTK,BAJFINANCE,,0,2016-10-27,1250
3660544,NFO,FUTSTK,BAJFINANCE,,0,2016-11-24,1250
3660544,NFO,FUTSTK,BAJFINANCE,,0,2016-11-24,1250
3686800,NFO,FUTSTK,BAJFINANCE,,0,2016-12-29,1250
3686800,NFO,FUTSTK,BAJFINANCE,,0,2016-12-29,1250
3638579,NFO,FUTSTK,BANKBARODA,,0,2016-10-27,3500
3660554,NFO,FUTSTK,BANKBARODA,,0,2016-11-24,3500
3660554,NFO,FUTSTK,BANKBARODA,,0,2016-11-24,3500
3686801,NFO,FUTSTK,BANKBARODA,,0,2016-12-29,3500
3686801,NFO,FUTSTK,BANKBARODA,,0,2016-12-29,3500
3638580,NFO,FUTSTK,BANKINDIA,,0,2016-10-27,6000
3660555,NFO,FUTSTK,BANKINDIA,,0,2016-11-24,6000
3660555,NFO,FUTSTK,BANKINDIA,,0,2016-11-24,6000
3686802,NFO,FUTSTK,BANKINDIA,,0,2016-12-29,6000
3686802,NFO,FUTSTK,BANKINDIA,,0,2016-12-29,6000
3638600,NFO,FUTIDX,BANKNIFTY,,0,2016-10-27,40
3660531,NFO,FUTIDX,BANKNIFTY,,0,2016-11-24,40
3660531,NFO,FUTIDX,BANKNIFTY,,0,2016-11-24,40
3686775,NFO,FUTIDX,BANKNIFTY,,0,2016-12-29,40
3686775,NFO,FUTIDX,BANKNIFTY,,0,2016-12-29,40
3638581,NFO,FUTSTK,BATAINDIA,,0,2016-10-27,1100
3660556,NFO,FUTSTK,BATAINDIA,,0,2016-11-24,1100
